id,hotelName,city,latitude,longitude,rating,imageURL,description
caa54733-166c-40b9-83f6-2defaaecfeff,Suites Taj Mahal Heights,"Agra, Uttar Pradesh",27.182415,78.050142,4.3,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?auto=format&fit=crop&w=800&q=80,Suites Taj Mahal Heights near Taj Mahal offers comfort and convenience with modern amenities.
1aad17f5-5ffb-4e2a-9866-d2f5c556f6a8,Resort Taj Mahal Residency,"Agra, Uttar Pradesh",27.170208,78.044004,3.9,https://images.unsplash.com/photo-1576675782826-f74f3db0bb88?auto=format&fit=crop&w=800&q=80,Resort Taj Mahal Residency near Taj Mahal offers comfort and convenience with modern amenities.
04a8fa72-f784-4791-a68c-2db718296373,Inn Taj Mahal Retreat,"Agra, Uttar Pradesh",27.168532,78.035345,4.1,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=800&q=80,Inn Taj Mahal Retreat near Taj Mahal offers comfort and convenience with modern amenities.
33494355-3f87-4460-ad05-0ac9eff92735,Taj Mahal Heritage Hotel,"Agra, Uttar Pradesh",27.177972,78.049294,3.9,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?auto=format&fit=crop&w=800&q=80,Taj Mahal Heritage Hotel near Taj Mahal offers comfort and convenience with modern amenities.
162d343d-694d-4550-aa3b-64d8970fc43d,The Gateway of India Grand,"Mumbai, Maharashtra",18.92514,72.82592,4.4,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=800&q=80,The Gateway of India Grand near Gateway of India offers comfort and convenience with modern amenities.
cc944d6a-de44-4bfd-b73a-14b87a671658,Gateway of India Comfort Stay,"Mumbai, Maharashtra",18.91545,72.837571,4.4,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d3?auto=format&fit=crop&w=800&q=80,Gateway of India Comfort Stay near Gateway of India offers comfort and convenience with modern amenities.
9d37f6b8-f3ae-4e30-aa12-d1e395f02d2b,Lodge Gateway of India View,"Mumbai, Maharashtra",18.922107,72.843659,4.5,https://images.unsplash.com/photo-1611892440504-42a792e24d32?auto=format&fit=crop&w=800&q=80,Lodge Gateway of India View near Gateway of India offers comfort and convenience with modern amenities.
8ff8d37a-c50e-4c5a-a047-54e00de3ddeb,Villa Gateway of India Palace,"Mumbai, Maharashtra",18.923776,72.829328,4.9,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d3?auto=format&fit=crop&w=800&q=80,Villa Gateway of India Palace near Gateway of India offers comfort and convenience with modern amenities.
92a4836b-1e95-46f1-896c-ce21f984ebaf,Inn Charminar Retreat,"Hyderabad, Telangana",17.368543,78.478349,4.4,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?auto=format&fit=crop&w=800&q=80,Inn Charminar Retreat near Charminar offers comfort and convenience with modern amenities.
0c662a1f-c7c8-4fe0-82b1-5700a6eacb53,Suites Charminar Heights,"Hyderabad, Telangana",17.359474,78.477844,4.6,https://images.unsplash.com/photo-1611892440504-42a792e24d32?auto=format&fit=crop&w=800&q=80,Suites Charminar Heights near Charminar offers comfort and convenience with modern amenities.
